Sample,KMeans_Cluster,DBSCAN_Cluster,GMM_Cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,LD1,LD2,Ancestry_Q1,Ancestry_Q2,Ancestry_Q3
201,1,2,1,-43.890619,-8.038876,-5.187656,15.540588,-21.517244,23.694192,22.059009,15.485191,8.395245,13.749219,-20.196758,-40.516055,0.956287,0.043711,0.000002
202,1,2,1,-49.627237,4.853900,6.626389,-29.481316,-14.358350,17.946155,14.421877,16.756165,11.298207,14.226544,-12.308260,-49.031939,0.702727,0.297256,0.000017
203,1,2,1,-47.058153,5.061178,5.574909,-29.198580,-6.160860,1.392119,-10.401152,-0.364210,-6.877214,14.144145,-12.806493,-46.064874,0.792334,0.207650,0.000016
204,2,Noise,2,22.052863,16.317184,10.515679,-26.390021,-37.399726,44.069797,-10.840375,-24.343916,-2.712657,-33.403715,9.410875,20.943288,0.006337,0.976464,0.017199
205,2,Noise,2,31.026342,2.425476,0.320733,10.021080,-15.451413,22.761153,-21.496250,-22.209582,-6.092943,-25.362123,4.044073,31.443531,0.439459,0.559600,0.000941
206,2,Noise,1,20.083668,-3.418481,-0.850159,-9.401708,-10.485272,-24.087403,-15.901635,-21.018674,-25.289265,25.628368,0.199265,21.263459,0.818480,0.181304,0.000216
207,1,Noise,1,-10.322476,4.045171,4.601189,-32.388259,-11.954499,-6.876727,-4.355233,-11.923957,-9.666211,38.807001,-3.080491,-10.096871,0.893031,0.106827,0.000142
208,1,Noise,2,-9.095192,-13.897532,31.127841,-45.272191,44.296422,38.443517,6.100061,12.818094,22.563953,1.565958,-18.512964,-6.624186,0.000000,0.938515,0.061485
209,2,Noise,2,43.761769,-26.853819,6.510330,-18.283397,15.358605,-4.692349,-6.260708,-0.826152,6.135792,-3.433366,-12.429062,49.351006,0.004714,0.995189,0.000097
21,1,2,1,-42.026288,-9.025236,-2.099073,9.723743,10.780958,-8.481764,-16.701304,-0.442156,-4.962723,1.118648,-20.298691,-38.237748,0.969708,0.030291,0.000001
210,1,2,1,-4.651023,-10.386459,4.791113,2.277347,15.064728,8.877789,-14.461466,2.746925,4.974035,-7.729980,-12.758885,-2.171302,0.920050,0.079920,0.000031
211,1,2,1,-44.571452,1.138081,9.557098,-26.365162,10.312873,4.086629,-2.075558,17.375730,3.937532,-2.186283,-12.578465,-44.080531,0.563879,0.436087,0.000034
212,2,Noise,2,178.652300,-31.967207,12.327843,15.832820,35.597593,64.099223,-54.050099,131.461290,-29.908455,27.514994,11.175570,163.151150,0.000000,1.000000,0.000000
214,2,Noise,2,131.468657,-16.721010,5.886770,-9.238430,8.987817,37.107134,-14.202853,50.813651,-19.350972,-0.347286,17.164054,123.942384,0.000000,1.000000,0.000000
215,1,2,1,-0.706808,4.997890,3.584527,1.644789,15.606064,-5.542773,-14.689453,12.471602,2.001107,-4.535444,4.311355,-3.578702,0.862250,0.137454,0.000295
216,1,2,1,-50.687323,8.267555,6.595546,-33.983227,-3.577329,9.162725,-13.859645,3.434112,-2.008252,8.162416,-11.922599,-50.580025,0.568680,0.431287,0.000033
217,2,Noise,2,76.360185,-21.066292,-8.485882,10.667849,0.046956,-51.895316,8.985281,-32.520827,-17.359637,19.070322,9.027296,80.828230,0.000036,0.999942,0.000023
218,2,Noise,2,76.875595,-19.792774,4.882289,-5.556465,12.516899,-8.505332,-24.944151,-6.958277,-7.270634,-11.200715,1.232935,79.095072,0.000050,0.999943,0.000007
